Latitude,Longitude,Stop Name,Stop Status
40.820131,-73.936555,MALCOLM X BL/W 145 ST,at stop
40.788133,-73.970972,COLUMBUS AV/W 89 ST,at stop
40.802242,-73.958856,MANHATTAN AV/W 112 ST,at stop
40.820643,-73.93608,MALCOLM X BL/W 145 ST,at stop
40.794259,-73.970217,AMSTERDAM AV/W 96 ST,at stop
40.772069,-73.982289,BROADWAY/W 64 ST,at stop
40.762163,-73.97877,AV OF THE AMERICAS/W 54 ST,approaching
40.754341,-73.988182,7 AV/W 39 ST,approaching
40.803077,-73.952182,W 116 ST/ST NICHOLAS AV,approaching
40.768612,-73.981982,BROADWAY/W 61 ST,approaching
40.751356,-73.98665,AV OF THE AMERICAS/W 38 ST,approaching
40.802366,-73.950494,MALCOLM X BL / W 116 ST,approaching
40.740095,-73.994846,AV OF THE AMERICAS/W 20 ST,approaching
40.812801,-73.941708,MALCOLM X BL/W 135 ST,approaching
40.808189,-73.945086,MALCOLM X BL/W 127 ST,< 1 stop away
40.808127,-73.945133,MALCOLM X BL/W 127 ST,< 1 stop away
40.798123,-73.967393,AMSTERDAM AV/W 104 ST,< 1 stop away
40.752317,-73.989665,7 AV/W 34 ST,< 1 stop away
40.811708,-73.9427,MALCOLM X BL/W 129 ST,< 1 stop away
40.748107,-73.98901,AV OF THE AMERICAS/W 34 ST,< 1 stop away
40.737589,-73.996671,AV OF THE AMERICAS/W 18 ST,< 1 stop away
